type,variable,value,None,Congenital heart defects,Hypertension,Coronary heart disease,Atrial fibrillation,Heart attack,Heart failure,Stroke,Comment
PriorInitialProb,age_range,0_4,0.991,0.009,0,0,0,0,0,0,9 in 1000 babies born have heart defects; https://www.hri.org.nz/health/learn/cardiovascular-disease/congenital-heart-disease 
PriorTransProb,prob,None,0.99975,0,0.0001,0.00005,0.00005,0.00005,0.00005,0.00005,
PriorTransProb,prob,Congenital heart defects,0,0.95,0.05,0,0,0,0.05,0,
PriorTransProb,prob,Hypertension,0.05,0,0.3,0.05,0.05,0.2,0.2,0.2,
PriorTransProb,prob,Coronary heart disease,0.1,0,0,0.7,0,0,0.1,0.1,
PriorTransProb,prob,Atrial fibrillation,0.1,0,0,0,0.7,0.1,0,0.1,
PriorTransProb,prob,Heart attack,0,0,0,0.2,0,0.6,0.1,0.1,
PriorTransProb,prob,Heart failure,0,0,0,0.2,0,0.3,0.45,0.05,
PriorTransProb,prob,Stroke,0,0,0,0.1,0,0.1,0.05,0.75,
StaticChar,Gender,Male,1,1,1,1,1,1.4,1,1,males at higher risk of heart attack; https://www.hri.org.nz/health/learn/cardiovascular-disease/heart-attack
StaticChar,Gender,Female,1,1,1,1,1,0.6,1,1,males at higher risk of heart attack; https://www.hri.org.nz/health/learn/cardiovascular-disease/heart-attack
StaticChar,ethnicity,Pacific Peoples,1,1,1.45,2,2,1.2,1.2,1,Atrial fibrilation more common in Maori and Pacific Peoples; https://www.hri.org.nz/health/learn/cardiovascular-disease/atrial-fibrillation
StaticChar,ethnicity,Maori,1,1,1.37,2,2,2,1,1.5,Atrial fibrilation more common in Maori and Pacific Peoples; https://www.hri.org.nz/health/learn/cardiovascular-disease/atrial-fibrillation
StaticChar,ethnicity,Asian,1,1,1.08,1,1,1,0.7,0.3,Much lower revalance among Asian
DynamicChar,physical_activity,No-Activity,1,1,1.5,1.2,1.2,1.2,1.2,1.2,
DynamicChar,body_size,Overweight,1,1,1.5,1.2,1.2,1.2,1.2,1.2,affects chances of having a heart condition; https://www.hri.org.nz/health/learn/risk-factors/risk-factors-for-cardiovascular-disease
DynamicChar,body_size,Obese,1,1,2,1.4,1.4,1.4,1.4,1.4,affects chances of having a heart condition; https://www.hri.org.nz/health/learn/risk-factors/risk-factors-for-cardiovascular-disease
DynamicChar,smoking,Regular Smoker,1,1,1.5,1,1,1.5,1.5,2,
DynamicChar,diabetes_2,Prediabetes,1,1,1.5,1.5,1.5,1.5,1.5,1.5,
DynamicChar,diabetes_2,Type 2,1,1,2,2,2,2,2,2,
DynamicChar,age_range,35_39,1,1,5,1,1,1,1,1,
DynamicChar,age_range,40_44,1,1,2,10,15,15,10,10,
DynamicChar,age_range,65_69,1,1,2,1,1.5,1.5,1.5,1.5,over 65 are more likely to suffer from heart conditions; https://www.hri.org.nz/health/learn/cardiovascular-disease/stroke 
DynamicChar,age_range,75_79,1,1,2,1,3,10,15,2,Atrial fibrillation is much more common in those aged over 75; https://www.hri.org.nz/health/learn/cardiovascular-disease/atrial-fibrillation
