type,variable,value,Regular smoker,Ex-smoker,Non-smoker,Comment
PriorInitialProb,age_range,0_4,0,0,1,All under 15 are non-smokers
PriorInitialProb,age_range,5_9,0,0,1,All under 15 are non-smokers
PriorInitialProb,age_range,10_14,0,0,1,All under 15 are non-smokers
PriorInitialProb,age_range,15_19,0.03,0,0.97,First age range cannot be ex-smoker; at this age about 3% are smokers; https://minhealthnz.shinyapps.io/nz-health-survey-2018-19-annual-data-explorer/_w_07361577/_w_6681b233/_w_022902a4/#!/explore-topics
PriorTransProb,prob,Regular Smoker,0.85,0.15,0,rate for quitting starts at 0.1 at younger age but then goes up; https://truthinitiative.org/research-resources/quitting-smoking-vaping/what-you-need-know-quit-smoking
PriorTransProb,prob,Ex-smoker,0.2,0.8,0,"after 5 years, relapse rate is about 25%; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3723776/"
PriorTransProb,prob,Non-smoker,0.1,0,0.9,
StaticChar,age,>30,1.2,0.92,1.1,"if they are older, they are more likely to have smoked;https://minhealthnz.shinyapps.io/nz-health-survey-2018-19-annual-data-explorer/_w_07361577/_w_6681b233/_w_022902a4/#!/explore-topics"
StaticChar,ethnicity,Maori,2.3,1.2,0.7,"Higher smoking, and ex-smoking; https://minhealthnz.shinyapps.io/nz-health-survey-2018-19-annual-data-explorer/_w_07361577/_w_6681b233/_w_022902a4/#!/explore-topics"
StaticChar,ethnicity,Pacific Peoples,1.6,0.7,1.1,As do Pacific peoples
StaticChar,ethnicity,Asian,0.6,0.5,1,Asian have lower smoking rates
StaticChar,gender,Female,1.1,1.1,1,More females are smokers
StaticChar,gender,Male,0.9,0.9,1,
StaticChar,deprivation_score,<4,4.34,1.15,1,Deprivation score based adjustments
StaticChar,deprivation_score,>6,0.35,0.85,1,Deprivation score based adjustments
DynamicChar,smoking,Regular Smoker,0.8,1.1,1,Reduce chances of remaining a smoker the older someone gets
DynamicChar,smoking,Ex-smoker,0.7,1,1,Reduce chances of going back to smoking the older someone gets
DynamicChar,smoking,Non-smoker,0.8,1,1.1,Increase the chances of someone remaining a non-smoker the older they get
DynamicChar,age_range,European,0.7,1.8,1.2,
DynamicChar,age_range,20_24,1.1,1.2,1,At 20_24 much more young people are likely to be smokers
DynamicChar,age_range,25_29,0.8,1.5,1,
DynamicChar,age_range,35_39,1.2,1,1,
DynamicChar,age_range,40_44,1.3,1,0.8,
